country,region,mys_1990,mys_1991,mys_1992,mys_1993,mys_1994,mys_1995,mys_1996,mys_1997,mys_1998,mys_1999,mys_2000,mys_2001,mys_2002,mys_2003,mys_2004,mys_2005,mys_2006,mys_2007,mys_2008,mys_2009,mys_2010,mys_2011,mys_2012,mys_2013,mys_2014,mys_2015,mys_2016,mys_2017,mys_2018,mys_2019,mys_2020,mys_2021,mys_2022,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,gnipc_2022,gnipc_1990_normalized,gnipc_1991_normalized,gnipc_1992_normalized,gnipc_1993_normalized,gnipc_1994_normalized,gnipc_1995_normalized,gnipc_1996_normalized,gnipc_1997_normalized,gnipc_1998_normalized,gnipc_1999_normalized,gnipc_2000_normalized,gnipc_2001_normalized,gnipc_2002_normalized,gnipc_2003_normalized,gnipc_2004_normalized,gnipc_2005_normalized,gnipc_2006_normalized,gnipc_2007_normalized,gnipc_2008_normalized,gnipc_2009_normalized,gnipc_2010_normalized,gnipc_2011_normalized,gnipc_2012_normalized,gnipc_2013_normalized,gnipc_2014_normalized,gnipc_2015_normalized,gnipc_2016_normalized,gnipc_2017_normalized,gnipc_2018_normalized,gnipc_2019_normalized,gnipc_2020_normalized,gnipc_2021_normalized,gnipc_2022_normalized,mys_1990_normalized,mys_1991_normalized,mys_1992_normalized,mys_1993_normalized,mys_1994_normalized,mys_1995_normalized,mys_1996_normalized,mys_1997_normalized,mys_1998_normalized,mys_1999_normalized,mys_2000_normalized,mys_2001_normalized,mys_2002_normalized,mys_2003_normalized,mys_2004_normalized,mys_2005_normalized,mys_2006_normalized,mys_2007_normalized,mys_2008_normalized,mys_2009_normalized,mys_2010_normalized,mys_2011_normalized,mys_2012_normalized,mys_2013_normalized,mys_2014_normalized,mys_2015_normalized,mys_2016_normalized,mys_2017_normalized,mys_2018_normalized,mys_2019_normalized,mys_2020_normalized,mys_2021_normalized,mys_2022_normalized
Afghanistan,SA,0.871961963,0.915267456,0.95857295,1.001878443,1.045183937,1.08848943,1.123601992,1.158714555,1.193827117,1.228939679,1.264052241,1.315550666,1.367049091,1.418547515,1.47004594,1.521544365,1.595280745,1.669017126,1.742753507,1.816489888,1.890226268,1.937043018,1.983859768,2.030676517,2.077493267,2.124310017,2.267770012,2.411230008,2.554690003,2.698149999,2.841609995,2.98506999,2.514790058,3115.670448,2817.304736,2474.681985,1723.019763,1202.010488,1477.061709,1468.355839,1338.724144,1227.293565,1122.32257,1047.342686,981.1335542,1364.239872,1465.417987,1453.663264,1508.275616,1577.870182,1894.877589,1838.976743,1953.65815,2006.788911,2059.012272,2174.350605,2244.209474,2222.094339,2142.689163,2122.363226,2123.676477,2082.113799,2112.986381,1986.803772,1534.135377,1335.205733,-0.6628349716343499,-0.6741743248603465,-0.68672191170203,-0.7261649402933891,-0.7505513349507081,-0.7321664809004786,-0.7416473283651833,-0.7422088911071697,-0.7462901318677128,-0.7489741555155096,-0.7526359330666645,-0.7716730185827935,-0.7732885288526897,-0.7812541877552027,-0.7814634552972075,-0.7884696426901978,-0.7946344340552712,-0.7844825631272974,-0.8105322141656046,-0.8434186822448426,-0.8384745260866043,-0.8512749112354815,-0.8639673105805971,-0.8629781568215676,-0.8690493534198959,-0.8830178327676629,-0.870402403046325,-0.8668323147376453,-0.8792537138902452,-0.883861184213348,-0.8702467717756345,-0.8924360311052963,-0.9094259200418878,-1.7354232441764987,-1.7541928806879226,-1.7718917136054637,-1.7884663602336457,-1.803538826557877,-1.8179454279584322,-1.83374645656426,-1.8482836533574314,-1.8615406609679106,-1.871168591433052,-1.8764345612694915,-1.8839625870257133,-1.8914510834248284,-1.8997184484669334,-1.9069019306283044,-1.9126085476208856,-1.912662483408754,-1.9174316055969163,-1.9268756831175744,-1.9368728208600832,-1.9476452843867693,-1.9726595057095018,-1.9897962039094625,-2.0066272238770066,-2.027813179786079,-2.048014585300739,-2.031349866078517,-2.014055729005292,-2.0006838518145598,-1.9980006239720929,-1.9852242891439027,-1.943538341498581,-2.0879476688608856
Albania,ECA,7.354632085,7.352753507,7.350874929,7.348996351,7.347117774,7.345239196,7.627025866,7.908812536,8.190599206,8.472385876,8.754172545,8.823679924,8.888405664,8.953131403,9.017857143,9.082582882,9.147308622,9.212034362,9.276760101,9.451739947,9.626719793,9.801699638,10.02511024,10.01542816,10.00574608,9.996063995,9.986381912,9.976699829,10.02484799,10.07299615,10.12114431,10.12114431,10.12114431,4964.172443,3501.732374,3177.137422,3595.914885,3950.845018,4559.593062,5016.104303,4496.157339,4952.589971,5595.604803,6065.186702,6645.338962,6920.545333,7341.553651,7756.637448,8197.982293,8814.489301,9399.455701,9962.428183,10153.08169,10643.04263,11056.62958,11146.24731,11552.96617,11691.6318,12016.28065,12484.60659,12802.17594,13302.73303,13481.9718,13069.1277,14399.78047,15293.32651,-0.5571793489843042,-0.6349002111824716,-0.6469656851502157,-0.6212906256122888,-0.6001294814909371,-0.568868286863265,-0.5557658891588291,-0.5840819373678144,-0.5639911129211826,-0.5343971736546161,-0.5196026336734877,-0.5045473655451915,-0.5056049082022316,-0.49948678910560307,-0.4922046916740927,-0.48697183208895517,-0.47768384612896925,-0.46504925054767543,-0.4523232322963954,-0.44030576778194214,-0.4267012429153048,-0.41974385461795033,-0.43033546793802135,-0.4189406061903668,-0.4214867326206157,-0.4166535325866577,-0.3987318047417531,-0.39611976000589116,-0.38559385459528206,-0.38555716396270784,-0.36787814756281845,-0.3379449230819413,-0.32491400918251206,0.4856280953998279,0.4413261313450201,0.39569178196586696,0.350818036922562,0.3068719765423849,0.26218948454356567,0.31641309649969707,0.3689743866039782,0.4205032352779275,0.4728839027215618,0.524573379231441,0.5073791525008791,0.4881753753123103,0.4695919893538702,0.455437489485898,0.44468969705748423,0.4331770323223043,0.4201500127270015,0.4083020392400721,0.4329772054782667,0.4569960747384671,0.4855121190465437,0.5239364403398308,0.4968664364247977,0.46923862703036906,0.4424765390644372,0.4126598043690133,0.38148002437351763,0.367873387512856,0.3540271942168486,0.3460665377886166,0.3414505110021687,0.34225504017352326
Algeria,AS,4.614607921,4.830320362,5.046032803,5.261745244,5.477457686,5.693170127,5.876116121,6.059062116,6.24200811,6.424954105,6.607900099,6.695277291,6.782654482,6.870031674,6.957408865,7.044786056,7.268690109,7.327584982,7.386479855,7.353188038,7.319896221,7.286604404,7.253312588,7.220020771,7.186728954,7.153437138,7.120145321,7.086853504,7.053561687,7.020269871,6.987443608,6.987443608,6.987443608,8592.763017,8177.384759,8208.306614,7917.633629,7651.361892,7737.878323,7902.659495,7901.092981,8215.514922,8327.85387,8459.649799,8724.944875,9026.512358,9551.519199,9773.751115,10106.23758,10198.97388,10619.53215,10744.04508,10708.17326,10955.31455,10980.75981,11103.42939,11118.24878,11289.71929,11475.06575,11768.62267,11633.27212,11438.08358,11353.52181,10634.88398,10823.11813,10978.40571,-0.349778438693127,-0.36659996570536396,-0.36222121356936504,-0.37929240254175767,-0.39762962168808536,-0.400497495516315,-0.40452714185694766,-0.41355984948939906,-0.4043184445919141,-0.4033350747411935,-0.4084015612627277,-0.4064725169872633,-0.4041466852554652,-0.3935164236866883,-0.39963445604075787,-0.4009688398984582,-0.4170459717192426,-0.4131165428207402,-0.4178573165518261,-0.4130154857901807,-0.4118122368804643,-0.4233826137352468,-0.432404953818011,-0.43967708597776256,-0.4404824879094512,-0.4422170074801003,-0.43132209933916654,-0.4476455109088489,-0.4676305556160503,-0.4788473871295808,-0.4782239267116669,-0.49209401157273513,-0.5056061411900518,-0.4531416129755483,-0.41895533296499055,-0.38586355891568064,-0.3526861032044221,-0.3192454899207251,-0.2870615925837486,-0.26247202427730487,-0.23862775520365717,-0.21504275083426735,-0.1896857387029382,-0.16342854546025587,-0.1705178148945642,-0.17804768957896583,-0.1854554564383199,-0.18944856546618802,-0.19063240454806613,-0.15036656875480847,-0.1638409942570775,-0.17759342878185735,-0.21837713896181557,-0.2600061888207482,-0.30060430491221357,-0.3425405168631935,-0.3795897126474799,-0.4186280913949745,-0.4568829908480177,-0.494901041667897,-0.5335629745545802,-0.5742300720568596,-0.6195656079259897,-0.6575097055255954,-0.6619682946393863,-0.6589510150533965
Argentina,LAC,8.126089428,8.192950249,8.260361195,8.327772141,8.395183086,8.462594032,8.530004978,8.597415924,8.66482687,8.732237816,8.799648762,8.867059708,9.391139984,9.915220261,10.00709343,10.0989666,10.19083977,10.29859972,10.40635967,10.54321003,10.59963989,10.69979,10.78507042,10.89459991,10.90851021,10.91755009,10.92819023,11.01644516,11.10470009,11.12439013,11.14408016,11.14408016,11.14408016,13588.67644,14790.84536,15920.94513,17102.54385,17828.82733,17032.72048,17709.57534,18899.05591,19334.52072,18440.33403,18080.92481,17058.178,14647.64818,15976.10128,15983.82803,17191.18749,20034.44635,21766.02881,22448.2236,20779.32028,22733.14315,23942.4341,23555.62317,23913.50105,23086.01735,23506.88132,22692.46439,22994.82645,21922.97222,21205.4712,19183.11525,21093.47399,22047.97131,-0.06422486891578594,0.012896403270637211,0.0742839197154742,0.1350242580762566,0.15930212447515865,0.09190007138008227,0.10929835900420888,0.13722753630709666,0.1397949970583928,0.08174620536523108,0.03841931500072724,-0.013474703496103772,-0.13333976156085928,-0.08545039460152293,-0.11463897327370566,-0.0816578462746834,0.013729606024612952,0.06133549147390816,0.09824620203640919,0.08211803273233653,0.14975013831714548,0.19826696419498935,0.16943743372916245,0.1706699950798507,0.11705077041566349,0.12608777357124598,0.06591144159051786,0.05317637730946627,-0.006339735190940357,-0.047035241417931674,-0.09072729599931545,-0.0494561990541837,-0.042055707388040826,0.7499399195170667,0.7278771088997734,0.7040920149502914,0.6807126136755927,0.6578512813096312,0.6336681101786867,0.6149557105904246,0.595165384525089,0.5751757517321252,0.5569746202477284,0.5391510834190005,0.5211956285585221,0.6472317739787087,0.7721285603516309,0.7650520007310468,0.7615667436396655,0.7573226317221613,0.7568767002713683,0.7584232816098792,0.7717507079775211,0.7593971427171726,0.7662186204240041,0.7615035599622638,0.7725169514124486,0.753569721801877,0.7340193066912416,0.7108725745822587,0.7107057266432494,0.710261261144037,0.6893437334643923,0.6736645489321933,0.6689971296693041,0.6690793493601176
Armenia,ECA,9.781759786,9.851629499,9.921499211,9.991368924,10.06123864,10.13110835,10.20291889,10.27472943,10.34653996,10.4183505,10.49016104,10.48822021,10.55885315,10.62948608,10.70011902,10.77075195,10.84138489,10.91201782,10.98265076,11.05328369,11.12391663,11.19454956,11.28896475,11.38337994,11.47779512,11.57221031,11.68974018,11.18758965,11.23515987,11.2827301,11.33030033,11.33030033,11.33030033,5183.292903,4489.995708,2640.652135,2491.056752,2679.180791,2999.253304,3202.572549,3444.418605,3624.935347,3780.554474,4047.936378,4481.334166,5144.307204,5902.46103,6610.487557,7579.667948,8681.502959,10016.91671,10843.06722,9186.422728,9517.273781,9892.559907,10718.40027,11336.71194,11608.18646,11966.45645,11854.25984,12949.74955,13459.01813,14521.83832,13181.64894,13813.88142,15388.29976,-0.5446549867172976,-0.5781912702101146,-0.677328651237824,-0.6831580725168864,-0.669717551604356,-0.6515278401287603,-0.6507844328635509,-0.6367539123126734,-0.6289604761818371,-0.6214625545620144,-0.6132855973536554,-0.6066024911435628,-0.5911779309320767,-0.5684929195663453,-0.5448042884230404,-0.514838587730391,-0.4835084029544628,-0.43876694492702534,-0.41349086957865255,-0.4878301711210948,-0.48037747223043675,-0.4755733257735504,-0.451014272701899,-0.4292561619341429,-0.42543064384306967,-0.41900690402152746,-0.4274240500662321,-0.3896146558744748,-0.37871797021781856,-0.3399796873152252,-0.3627774898938343,-0.3631963435179901,-0.3209368981713007,1.317195201264799,1.293573375950145,1.2673719349504078,1.2414248444260978,1.215785041115747,1.1883866165414776,1.1680538784218262,1.1461258101637406,1.123677695693505,1.1026177485135062,1.0810560513304905,1.0375358035460216,1.0166759186698806,0.9967351856797533,0.9819574884775063,0.9710086639255003,0.9593974219794542,0.9469750163753863,0.9370456518149888,0.9300687810261751,0.9223517847080799,0.920860325743465,0.9190232928674478,0.9257662647407934,0.9328694927145733,0.9411428362046984,0.9520086060918661,0.7648970398715123,0.7516260431068557,0.7398424159515794,0.7333020690433703,0.7286252940464929,0.7285760210398328
Australia,,11.22770758,11.249762,11.27181643,11.29387086,11.31592528,11.33797971,11.32795497,11.31793023,11.30790549,11.29788075,11.28785601,11.34399455,11.40013309,11.45627163,11.51241016,11.54751968,11.6446104,11.7118597,11.9376297,11.98707962,12.03444004,12.11583996,12.29574013,12.01885986,12.16699982,12.2456398,12.35210991,12.42234039,12.55362034,12.65668964,12.72681999,12.72681999,12.72681999,28963.94423,28760.16478,29964.00387,31005.34711,31489.40915,32314.90021,33255.27122,34488.03062,35835.98832,36929.69602,37285.52817,38345.47319,39035.72807,40207.24974,40642.13043,41168.0418,41858.09781,42760.18162,42962.35043,42906.86571,43158.47472,44610.72803,45268.49248,45609.49362,46153.7987,46562.89056,46712.89751,47086.51429,47256.85514,47054.49255,48074.57131,48075.67425,49257.1352,0.8145859174169839,0.8144897470269069,0.8690660444467204,0.9135232497772278,0.9068371304121118,0.9014789742620843,0.9238026433301257,0.9179367170161914,0.947301575545117,0.9686545839780866,0.9302987895814472,0.9904406243630188,1.041593757031708,1.0764607759821065,1.0169902952349532,0.9989529231666757,0.9695653419119443,0.9549542501590437,1.0028302375273783,1.1699871109282327,1.1236221566829012,1.1895305857500533,1.2188689906825068,1.2055918126664271,1.2073127520120166,1.2151038249580788,1.1592781637625293,1.1151476748929212,1.1082441233478264,1.0859305232072285,1.2189403447106382,1.1134384720583996,1.0973584467319284,1.8125966676948588,1.7704095916666565,1.725254764532883,1.6804307222653148,1.6359583257058135,1.5896261330196517,1.5400128836812808,1.4887942229193587,1.4372334771154494,1.387242638396833,1.3367624858512857,1.3101002238611494,1.2828422657907295,1.2567245444251363,1.236191110519987,1.2131808473279362,1.2088983735238403,1.194846076159034,1.2330429433205077,1.219902943916051,1.2053588399150115,1.208818214925936,1.2337460025933449,1.1250110280220422,1.1499387363415532,1.1542046484028594,1.1617403618149023,1.1558693937589768,1.1696692888347358,1.1780333955298976,1.1805413198125205,1.1757943834230922,1.174759008120594
Austria,,10.20033055,10.29016018,10.3807809,10.47140162,10.56202235,10.65264307,10.74326379,10.83388451,10.92450523,11.01512596,11.10574668,11.1963674,11.28698812,11.37760884,11.46822957,11.55885029,11.54505491,11.53125954,11.46809959,11.67436981,11.71487999,11.71115017,11.75162983,11.78754044,12.01449966,12.07699013,12.11466026,12.15911961,12.20790482,12.25669003,12.30571367,12.30571367,12.30571367,37786.54033,38510.28148,38808.53857,38720.41386,39418.02542,40264.30902,41294.77151,41935.75294,43325.1685,44329.53112,46056.68451,46225.3902,47137.63034,47510.2663,48564.17121,49280.0232,50960.16583,52510.5402,53611.22504,51007.44766,52277.59515,53356.39616,53349.76165,53138.15998,53001.21944,52352.33627,53340.75718,53665.02668,54677.54634,55647.00605,52446.03371,54360.74096,56529.66329,1.3188628329176166,1.3739750313548704,1.3696320686493104,1.3455348069759943,1.3407072457968658,1.3226017313990548,1.3450258217964504,1.290925017963665,1.3137879032716515,1.3236141414843483,1.3376393714899586,1.3620599117355652,1.431915446329086,1.426648738968209,1.380551949542801,1.36455111002691,1.3682191556396515,1.3699794912273238,1.4723994299174754,1.5682406201877463,1.558418340453469,1.6089780105265645,1.609454811752516,1.564717169487754,1.5309451981300464,1.4885596186816694,1.460966362563999,1.4051311490842895,1.4347231971178835,1.4625414399520325,1.4171014493628444,1.3843159584834486,1.401903690219786,1.460603262849594,1.4431352452680126,1.4231110430471536,1.4032189802153947,1.3834890156315665,1.3617773736801504,1.3467025058516413,1.329795899132078,1.3121849244367647,1.295740326830252,1.2783861274454265,1.2630809260372342,1.2470451643407674,1.2319883981182462,1.2223633203760813,1.216713381516736,1.1779740699786656,1.1388780727627925,1.0875113142771609,1.1228432083817548,1.1060338278186397,1.0823286545201207,1.0636545686870345,1.0524844514462546,1.101907876447253,1.1008467173196488,1.0865546615409478,1.0725229784746297,1.0600535351828253,1.0504632482045657,1.0456808660392065,1.0409550861051218,1.0402170599347826
Bahamas,LAC,10.01280022,10.11538124,10.21796227,10.32054329,10.42312431,10.52570534,10.62828636,10.73086739,10.83344841,10.93602943,11.03861046,11.1210104,11.20341034,11.28581028,11.36821022,11.45061016,11.5330101,11.61541004,11.69780998,11.78020992,11.86260986,11.94677192,12.03153108,12.11689158,12.20285769,12.28943371,12.37662396,12.46443281,12.55286464,12.64192386,12.73161494,12.73161494,12.73161494,34032.56457,31934.95537,30862.45104,29916.29929,30232.33113,35502.41846,38757.3737,33618.32155,31447.06156,35181.8708,36076.12626,36287.9169,36841.47622,36044.25695,35962.10629,36554.31412,36878.42545,36853.45782,36036.85528,33789.6262,33591.01194,33388.75251,33977.48273,32498.22024,32521.56195,32642.82302,32035.25553,32753.61997,32265.5103,32291.86455,24649.01825,28178.29448,32534.88784,1.104295227684397,0.9966669117297554,0.9199146354803412,0.8525411144532369,0.8380472474096092,1.0703388864829544,1.2120808958672677,0.8743809432641556,0.7325275131946614,0.8848138958674168,0.8741330505746031,0.893405642744767,0.9358822759135955,0.8768405295977919,0.8022126431387141,0.7910172301096288,0.7514648648482221,0.7035338076281242,0.6974459332147716,0.7217510888709545,0.6674491806768208,0.651317991491797,0.6731492254895809,0.5801701900545746,0.5630067727269464,0.5576102912918499,0.49117841632188386,0.483347923865725,0.44868826176841914,0.4388827339145479,0.15704548054379452,0.25588954422176674,0.3970956452835562,1.3963528100548144,1.3835264969720285,1.367900419969746,1.3523724580256509,1.3369744168231166,1.3195753336814242,1.308688711227305,1.295957051426962,1.2824861351022887,1.27014388925303,1.2568651650612663,1.2390796957342933,1.2206026077726526,1.2031216033996524,1.191058926701623,1.1829674525839473,1.1742326654555808,1.1649563191485954,1.1587104270771527,1.1556941543930774,1.1519509289229402,1.155974425468651,1.1511530133308294,1.155747336488648,1.1612323922306886,1.1680603080768122,1.1695024537607137,1.1691975676122839,1.1694296796177852,1.1733242091135074,1.1820769156991375,1.1773297384105808,1.1762909773260282
Bahrain,AS,5.108272499,5.387740135,5.68249712,5.977254105,6.272011089,6.566768074,6.861525059,7.156282043,7.451039028,7.745796013,8.040552998,8.335309982,8.301632245,8.267954508,8.234276772,8.200599035,8.166921298,8.133243561,8.099565824,8.065888087,8.03221035,8.247186979,8.462163607,8.677140236,8.892116865,9.107093493,9.322070122,9.586489677,10.54808998,10.79733992,11.04658985,11.04658985,11.04658985,39137.16858,38598.50737,42416.39005,44239.02663,41633.74867,42316.54989,42547.12886,40988.27681,42114.69975,42802.19131,45069.75225,44596.96124,44454.77914,45712.943,45712.9919,45664.45993,45300.72249,46035.82655,44742.87699,40494.84868,41243.30109,39814.25241,46027.82681,46836.14835,46483.23369,45765.10722,45850.56256,46185.09071,46224.43292,46857.13387,44780.53541,46757.30276,48731.44564,1.396061272036689,1.3790376463645697,1.5738223321865243,1.6545541030624085,1.4619561585202183,1.4313199209072347,1.4106420820755656,1.2434746033626833,1.2545530823229014,1.250349824672843,1.2918053280059403,1.2852627057644812,1.3026649348294577,1.3404650393855175,1.249704419788996,1.2016016022789682,1.1203459617556453,1.09438248918975,1.0813437377260926,1.0514037483352268,1.032307408514582,0.9594887734028564,1.25556931788491,1.2641045420853223,1.2228829726394361,1.1774217242204665,1.1200262346659289,1.075412560637642,1.062821905788736,1.0772802681448017,1.069619652232985,1.0566185253715257,1.0753446087559206,-0.28400538490383376,-0.2288460729822871,-0.17004309962237624,-0.11152515983593321,-0.053163025600610384,0.0033769988586775383,0.06332350785554475,0.12178474719178349,0.17929074919956545,0.2377520698520077,0.2958178814153841,0.35183315875144894,0.30253046676636186,0.25413260988333825,0.2101898608084251,0.16971437856212182,0.12864540680152778,0.08583266099153,0.04342873892645733,0.0028326730080103033,-0.0386061437295621,-0.00036528073214759185,0.03535198618410185,0.07726724496720745,0.11849428158269928,0.16122116049937127,0.20231311768661753,0.2579236038782967,0.5337773222745219,0.5850390230860979,0.6424430098085322,0.6377804884759091,0.6379315474543219
Bangladesh,SA,3.294752292,3.399163456,3.50357462,3.607985785,3.712396949,3.816808113,3.909618037,4.00242796,4.095237884,4.188047808,4.280857732,4.396870136,4.477070141,4.557270145,4.63747015,4.717670155,4.797870159,4.878070164,4.958270168,5.038470173,5.118670177,5.198870182,5.302340031,5.064770222,5.194399834,5.98582983,6.113890171,6.270249844,6.385879993,6.549980164,7.379059792,7.379059792,7.379059792,1771.688554,1798.660986,1866.833172,1922.69547,1968.361761,2028.477204,2073.218801,2131.335897,2200.008762,2263.311054,2342.487219,2410.183801,2478.738954,2551.599921,2650.779756,2784.390803,2970.873132,3169.948155,3366.654655,3512.515113,3673.457097,3855.485519,4073.633889,4247.481847,4391.712909,4615.475367,4804.987596,4997.565265,5331.387686,5689.300542,5822.800881,6220.542581,6511.122178,-0.7396535221282367,-0.7326265676009542,-0.7211237738643972,-0.714983933581317,-0.7086150242605499,-0.7029550490654052,-0.7099560179354655,-0.7025142169020675,-0.6986898856586113,-0.6942425619154874,-0.6924882276470338,-0.7042785734812229,-0.7195958095492987,-0.7291705267399571,-0.7265248776860572,-0.7309565178953099,-0.7336234706861524,-0.7302090238834494,-0.7431682428877017,-0.7667797123806617,-0.7590084227000725,-0.7651149900112528,-0.7721706997611502,-0.7674199435387663,-0.7665057838608561,-0.7662194814236679,-0.7482941879449291,-0.7401501401398317,-0.736299385181217,-0.727110897496704,-0.6963586412127115,-0.6904585084540275,-0.6926786329213604,-0.9053421812089052,-0.9070545958499397,-0.908900003542907,-0.9100826820247114,-0.9103344070436914,-0.9108816716643993,-0.9126348805381127,-0.9141866330874843,-0.9152261823608732,-0.9135712542527972,-0.9093774720836759,-0.9025612807581437,-0.907494491820558,-0.9127219003858479,-0.9155508130310555,-0.9161552565024021,-0.9178620241965225,-0.9229458236933781,-0.9302210108722684,-0.9368256705681983,-0.9441868410867277,-0.9531450670227579,-0.9524236963067569,-1.0553347235162522,-1.0461243564877793,-0.826294388288152,-0.8135201598979026,-0.7921329391640514,-0.7859313925165087,-0.7695530721827104,-0.5320935486766232,-0.5365718126561548,-0.5338310587999422
